지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
115,울릉도,2026-06-17 01:00,20.3,,,,2.6,,250,,86,,20.4,17.8,989.5,,1015,,,9,,9,,,0,0,,,2983,,,18.9,,22,23,24.1,22.6
115,울릉도,2026-06-17 02:00,20.2,,,,2.9,,250,,85,,20,17.5,989.2,,1014.7,,,9,,9,,,0,0,,,3432,,,18.1,,21.6,22.7,23.9,22.6
115,울릉도,2026-06-17 03:00,20,,,,3.3,,230,,83,,19.4,17,988.9,,1014.5,,,9,,9,,,0,0,,,4267,,,17.4,,21.2,22.4,23.8,22.5
115,울릉도,2026-06-17 04:00,20,,,,2.6,,230,,86,,20,17.5,988.7,,1014.2,,,9,,9,,,0,0,,,3357,,,17.5,,21,22.1,23.6,22.5
115,울릉도,2026-06-17 05:00,20,,,,2.8,,250,,85,,19.7,17.3,988.8,,1014.4,,0,,0,,,,0,0,,,3833,,,17.5,,20.9,21.9,23.4,22.4
115,울릉도,2026-06-17 06:00,20.5,,,,3.2,,230,,86,,20.6,18,989,,1014.5,,.7,,.17,,,,0,0,,,3845,,,19.1,,20.9,21.7,23.2,22.3
115,울릉도,2026-06-17 07:00,21.4,,,,2.3,,200,,87,,22.1,19.1,988.6,,1014,,1,,.74,,,,0,0,,,3037,,,27,,21.3,21.6,23.1,22.3
115,울릉도,2026-06-17 08:00,22.8,,,,.2,,0,,83,,22.9,19.7,988.5,,1013.8,,1,,1.4,,,,0,0,,,3758,,,36.2,,22.2,21.7,23,22.2
115,울릉도,2026-06-17 09:00,23.9,,,,2,,200,,81,,24,20.4,988.5,,1013.7,,1,,2.04,,,,0,0,,,4468,,,44.9,,23.4,22.1,22.9,22.1
115,울릉도,2026-06-17 10:00,24.4,,,,3.1,,200,,80,,24.4,20.7,988.7,,1013.8,,1,,2.6,,,,0,0,,,4257,,,51.3,,24.6,22.6,23,22.1
115,울릉도,2026-06-17 11:00,25,,,,2.7,,200,,74,,23.4,20,988.3,,1013.4,,1,,3,,,,0,0,,,4831,,,55.9,,25.8,23.3,23.1,22
115,울릉도,2026-06-17 12:00,25.6,,,,2.8,,180,,75,,24.6,20.8,988.2,,1013.2,,1,,3.29,,,,0,0,,,5000,,,58.8,,27.4,24.3,23.3,22
115,울릉도,2026-06-17 13:00,26.2,,,,3.8,,200,,69,,23.4,20,987.8,,1012.7,,1,,3.29,,,,6,0,,,5000,,,58.4,,28.5,25.3,23.7,22
115,울릉도,2026-06-17 14:00,27.1,,,,3.3,,200,,66,,23.5,20.1,987.3,,1012.1,,1,,3.22,,,,4,0,,,5000,,,57,,29.4,26.2,24,22.1
115,울릉도,2026-06-17 15:00,26.9,,,,4.1,,200,,62,,21.8,18.9,986.9,,1011.7,,1,,2.73,,,,4,0,,,5000,,,45.8,,29,26.8,24.4,22.2
115,울릉도,2026-06-17 16:00,26.9,,,,3.6,,230,,65,,22.9,19.7,986.6,,1011.4,,1,,2.33,,,,3,0,,,5000,,,38.2,,28.3,27,24.8,22.4
115,울릉도,2026-06-17 17:00,26.1,,,,3.1,,200,,73,,24.6,20.8,985.8,,1010.7,,1,,1.79,,,,0,0,,,5000,,,31.3,,27.5,27,25.1,22.5
115,울릉도,2026-06-17 18:00,25.1,,,,3.8,,230,,71,,22.5,19.4,985.6,,1010.6,,1,,1.13,,,,0,0,,,5000,,,28.4,,26.4,26.7,25.3,22.7
115,울릉도,2026-06-17 19:00,23,,,,2.8,,230,,73,,20.4,17.8,985.6,,1010.8,,.4,,.39,,,,3,3,,37,5000,,,25.1,,25.3,26.2,25.4,22.8
115,울릉도,2026-06-17 20:00,22.3,,,,3.3,,230,,82,,22,19,985.6,,1010.8,,0,,.03,,,,8,0,,,4670,,,22.9,,24.4,25.7,25.4,23
115,울릉도,2026-06-17 21:00,21.7,,,,3.4,,230,,79,,20.4,17.8,985.7,,1011,,,9,,9,,,6,0,,,5000,,,21.5,,23.7,25.1,25.4,23.1
115,울릉도,2026-06-17 22:00,21.5,,,,4,,230,,80,,20.4,17.8,985.9,,1011.2,,,9,,9,,,7,0,,,5000,,,21.1,,23.3,24.7,25.2,23.1
115,울릉도,2026-06-17 23:00,21.6,,,,4.5,,200,,85,,21.8,18.9,985.5,,1010.8,,,9,,9,,,10,7,,38,4874,,,21.5,,23.1,24.3,25.1,23.2
115,울릉도,2026-06-18 00:00,21.9,,0,,5.7,,230,,83,,21.7,18.8,984.8,,1010.1,,,9,,9,,,10,3,,,5000,,01,20.9,,22.8,23.9,24.9,23.2
130,울진,2026-06-17 01:00,19,,,,1.8,,250,,80,,17.5,15.4,1008.4,,1014.1,,,9,,9,,,0,0,,,4642,,,19.2,,,,,
130,울진,2026-06-17 02:00,18.7,,,,1.4,,250,,80,,17.2,15.1,1008.2,,1014,,,9,,9,,,0,0,,,4835,,,18.9,,,,,
130,울진,2026-06-17 03:00,19.5,,,,2.2,,230,,76,,17.2,15.1,1007.7,,1013.4,,,9,,9,,,0,0,,,4988,,,18.7,,,,,
130,울진,2026-06-17 04:00,19.3,,,,2.3,,200,,78,,17.4,15.3,1007.4,,1013.1,,,9,,9,,,0,0,,,4803,,,18.4,,,,,
130,울진,2026-06-17 05:00,18.8,,,,2.1,,250,,83,,17.9,15.8,1007.6,,1013.3,,,9,,9,,,0,0,,,4838,,,18.1,,,,,
130,울진,2026-06-17 06:00,20.2,,,,1.6,,270,,79,,18.6,16.4,1007.6,,1013.3,,.7,,,9,,,0,0,,,4975,,,19.1,,,,,
130,울진,2026-06-17 07:00,22.5,,,,1.8,,90,,81,,22,19,1007.8,,1013.5,,1,,,9,,,0,0,,,2151,,,23.5,,,,,
130,울진,2026-06-17 08:00,24,,,,1.6,,70,,74,,22,19,1007.6,,1013.2,,1,,,9,,,0,0,,,2175,,,29.2,,,,,
130,울진,2026-06-17 09:00,23.3,,,,2.9,,90,,79,,22.5,19.4,1008.1,,1013.8,,1,,,9,,,1,0,,,1283,,,34.4,,,,,
130,울진,2026-06-17 10:00,23.1,,,,2.2,,70,,79,,22.2,19.2,1007.8,,1013.5,,.9,,,9,,,6,3,,3,1195,,,37.8,,,,,
130,울진,2026-06-17 11:00,24.1,,,,2.6,,70,,76,,22.7,19.5,1007.4,,1013,,1,,,9,,,6,1,,3,1742,,,43.3,,,,,
130,울진,2026-06-17 12:00,22.7,,,,3.7,,70,,82,,22.5,19.4,1007.2,,1012.9,,.8,,,9,,,6,1,,41,1268,,,45.5,,,,,
130,울진,2026-06-17 13:00,23.1,,,,2.7,,110,,84,,23.7,20.2,1007,,1012.6,,.9,,,9,,,5,1,,76,1472,,,46.6,,,,,
130,울진,2026-06-17 14:00,24.2,,,,2.9,,110,,83,,25,21.1,1006.1,,1011.7,,.8,,,9,,,6,3,,30,2815,,,45.9,,,,,
130,울진,2026-06-17 15:00,24.7,,,,2.8,,110,,80,,24.9,21,1005.6,,1011.2,,1,,,9,,,3,0,,,3744,,,44.7,,,,,
130,울진,2026-06-17 16:00,24.8,,,,2,,180,,80,,25,21.1,1005,,1010.6,,1,,,9,,,1,0,,,2694,,,42,,,,,
130,울진,2026-06-17 17:00,23.4,,,,1.5,,180,,86,,24.7,20.9,1004.1,,1009.7,,.6,,,9,,,8,6,,38,2954,,,34.2,,,,,
130,울진,2026-06-17 18:00,22.8,,,,1.5,,270,,88,,24.4,20.7,1003.9,,1009.5,,.3,,,9,,,6,6,,38,2690,,,30.1,,,,,
130,울진,2026-06-17 19:00,22.2,,,,1.3,,320,,91,,24.3,20.6,1003.8,,1009.4,,0,,,9,,,9,9,,40,2335,,,27.4,,,,,
130,울진,2026-06-17 20:00,21.7,,,,1.3,,230,,92,,23.8,20.3,1003.9,,1009.6,,0,,,9,,,10,10,,37,2605,,,25.5,,,,,
130,울진,2026-06-17 21:00,21.3,,0,,1.6,,230,,93,,23.5,20.1,1004.1,,1009.8,,,9,,9,,,10,2,,19,2049,,,23.6,,,,,
130,울진,2026-06-17 22:00,21.4,,7.6,,1.6,,160,,96,,24.4,20.7,1004.7,,1010.4,,,9,,9,,,10,5,,8,738,,,23,,,,,
